id,number,title,body,agent,user_id,user,state,created_at,closed_at,merged_at,repo_id,repo_url,html_url
3245221980,3546,Fix Docker build by pinning insight dependencies,"## Summary
- pin `numpy` and `pandas` in the Insight demo lock file
- update Insight demo requirements

## Testing
- `pre-commit run --files alpha_factory_v1/demos/alpha_agi_insight_v1/requirements.lock alpha_factory_v1/demos/alpha_agi_insight_v1/requirements.txt` *(failed: KeyboardInterrupt)*
- `pytest -k ""test"" -q` *(failed: ModuleNotFoundError: No module named 'adk')*

------
https://chatgpt.com/codex/tasks/task_e_687b752555f88333b9049aa0c2cf3274",OpenAI_Codex,24208299,MontrealAI,closed,2025-07-19T11:05:56Z,2025-07-19T11:06:08Z,2025-07-19T11:06:08Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3546
3260713587,3726,fix: update insight SRI and build order,"## Summary
- rebuild insight browser and update SRI reference
- run insight build before asset verification in docs workflows

## Testing
- `pre-commit run --files alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/index.html`
- `pre-commit run --files .github/workflows/ci.yml`
- `mkdocs build --strict`


------
https://chatgpt.com/codex/tasks/task_e_68826e2963f48333a6319fbf73b816f6",OpenAI_Codex,24208299,MontrealAI,closed,2025-07-24T17:46:06Z,2025-07-24T17:47:16Z,2025-07-24T17:47:16Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3726
3089275524,793,[alpha_factory] start ledger task in run loop,"## Summary
- ensure the insight orchestrator only starts the merkle task when running

## Testing
- `python check_env.py --auto-install`
- `ruff check alpha_factory_v1/demos/alpha_agi_insight_v1/src/orchestrator.py`
- `mypy --config-file mypy.ini .` *(fails: Found 2752 errors)*
- `pytest -q`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-25T12:42:19Z,2025-05-25T12:42:30Z,2025-05-25T12:42:30Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/793
3089288927,797,[alpha_factory] handle empty rows in plain table,"## Summary
- fix plain table to return just the header when there are no data rows
- add a regression test for empty results

## Testing
- `python check_env.py --auto-install`
- `pytest -q`
",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-25T13:04:48Z,2025-05-25T13:05:21Z,2025-05-25T13:05:21Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/797
3089513293,875,[alpha_factory] Log bus handler errors,"## Summary
- log A2ABus handler exceptions with sender and recipient info

## Testing
- `python check_env.py --auto-install`
- `pytest -q`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-25T19:12:37Z,2025-05-25T19:12:45Z,2025-05-25T19:12:45Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/875
3097973936,1063,[alpha_factory] improve exception handling,"## Summary
- catch ModuleNotFoundError when importing optional FastAPI modules
- log and skip bad simulation results
- handle WebSocketDisconnect errors when streaming progress
- log corrupt fill records in `portfolio` loader and history

## Testing
- `python check_env.py --auto-install`
- `pytest -q`",OpenAI_Codex,24208299,MontrealAI,closed,2025-05-28T16:48:52Z,2025-05-28T16:49:00Z,2025-05-28T16:49:00Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1063
3150747776,2260,[alpha_factory] patch cross industry bridge,"## Summary
- update policy in cross-industry bridge to call local functions
- test that patched functions are used by CrossIndustryAgent

## Testing
- `python scripts/check_python_deps.py`
- `python check_env.py --auto-install --wheelhouse wheels` *(fails: No matching distribution found for numpy)*
- `pytest -q` *(fails: Environment check failed)*

------
https://chatgpt.com/codex/tasks/task_e_685053f7b280833385fa7b03fe622166",OpenAI_Codex,24208299,MontrealAI,closed,2025-06-16T17:30:15Z,2025-06-16T17:30:48Z,2025-06-16T17:30:47Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2260
3108454301,1420,[alpha_factory] fix insight browser CSP,"## Summary
- update the Insight Browser CSP policy

## Testing
- `pre-commit run --files alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/index.html` *(fails: cannot fetch black)*
- `npm run build` *(fails: cannot find module 'esbuild')*
- `pytest -q tests` *(fails: ModuleNotFoundError: rocketry)*

------
https://chatgpt.com/codex/tasks/task_e_683d2102e3bc833390a0612aea1b6201",OpenAI_Codex,24208299,MontrealAI,closed,2025-06-02T04:03:21Z,2025-06-02T04:03:35Z,2025-06-02T04:03:35Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1420
3221064560,3202,fix size check python indentation,"## Summary
- fix python indentation in size-check workflow

## Testing
- `python scripts/check_python_deps.py`
- `python check_env.py --auto-install`
- `pytest -q` *(fails: 86 failed, 108 passed, 32 skipped, 5 errors)*
- `pre-commit run --files .github/workflows/size-check.yml`


------
https://chatgpt.com/codex/tasks/task_e_6870553035c883339adf5bc70301a18c",OpenAI_Codex,24208299,MontrealAI,closed,2025-07-11T00:26:03Z,2025-07-11T00:26:14Z,2025-07-11T00:26:14Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3202
3221122014,3203,Fix size-check workflow indentation,"## Summary
- fix Python heredoc indentation in browser size workflow

## Testing
- `python scripts/check_python_deps.py`
- `python check_env.py --auto-install`
- `pytest tests/test_ping_agent.py tests/test_af_requests.py -q`
- `pre-commit run --files .github/workflows/size-check.yml` *(fails: shellcheck_py wheel build error)*

------
https://chatgpt.com/codex/tasks/task_e_68705a3d07fc833387167640f85d3235",OpenAI_Codex,24208299,MontrealAI,closed,2025-07-11T00:57:43Z,2025-07-11T00:57:53Z,2025-07-11T00:57:53Z,922805069,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3203
